bookId,title,author,Year,Price$
538,Magnolia Table: A Collection of Recipes for Gathering,Joanna Gaines,2018,16
267,Make It Ahead: A Barefoot Contessa Cookbook,Ina Garten,2014,20
24,Make Your Bed: Little Things That Can Change Your Life...And Maybe the World,Admiral William H. McRaven,2017,11
537,"Mastering the Art of French Cooking, Vol. 2",Julia Child,2009,27
326,Milk and Honey,Rupi Kaur,2016,8
517,Milk and Honey,Rupi Kaur,2017,8
249,Milk and Honey,Rupi Kaur,2018,8
381,Milk and Vine: Inspirational Quotes From Classic Vines,Adam Gasiewski,2017,6
304,Mindset: The New Psychology of Success,Carol S. Dweck,2014,10
146,Mindset: The New Psychology of Success,Carol S. Dweck,2015,10
151,Mindset: The New Psychology of Success,Carol S. Dweck,2016,10
347,Mockingjay (The Hunger Games),Suzanne Collins,2010,8
302,Mockingjay (The Hunger Games),Suzanne Collins,2011,8
440,Mockingjay (The Hunger Games),Suzanne Collins,2012,8
183,"National Geographic Kids Why?: Over 1,111 Answers to Everything",Crispin Boyer,2019,16
375,National Geographic Little Kids First Big Book of Why (National Geographic Little Kids First Big Books),Amy Shields,2019,11
224,New Moon (The Twilight Saga),Stephenie Meyer,2009,10
298,Night (Night),Elie Wiesel,2016,9
282,No Easy Day: The Autobiography of a Navy Seal: The Firsthand Account of the Mission That Killed Osama Bin Laden,Mark Owen,2012,14
134,Obama: An Intimate Portrait,Pete Souza,2017,22
52,"Oh, the Places You'll Go!",Dr. Seuss,2012,8
549,"Oh, the Places You'll Go!",Dr. Seuss,2013,8
15,"Oh, the Places You'll Go!",Dr. Seuss,2014,8
66,"Oh, the Places You'll Go!",Dr. Seuss,2015,8
274,"Oh, the Places You'll Go!",Dr. Seuss,2016,8
85,"Oh, the Places You'll Go!",Dr. Seuss,2017,8
482,"Oh, the Places You'll Go!",Dr. Seuss,2018,8
17,"Oh, the Places You'll Go!",Dr. Seuss,2019,8
453,Old School (Diary of a Wimpy Kid #10),Jeff Kinney,2015,7
474,Olive Kitteridge,Elizabeth Strout,2009,12
195,One Thousand Gifts: A Dare to Live Fully Right Where You Are,Ann Voskamp,2011,13
484,One Thousand Gifts: A Dare to Live Fully Right Where You Are,Ann Voskamp,2012,13
446,"Option B: Facing Adversity, Building Resilience, and Finding Joy",Sheryl Sandberg,2017,9
72,Origin: A Novel (Robert Langdon),Dan Brown,2017,13
330,Orphan Train,Christina Baker Kline,2014,11
275,Outliers: The Story of Success,Malcolm Gladwell,2009,20
403,Outliers: The Story of Success,Malcolm Gladwell,2010,20
149,P is for Potty! (Sesame Street) (Lift-the-Flap),Naomi Kleinberg,2018,5
532,P is for Potty! (Sesame Street) (Lift-the-Flap),Naomi Kleinberg,2019,5
265,Percy Jackson and the Olympians Paperback Boxed Set (Books 1-3),Rick Riordan,2010,2
292,Player's Handbook (Dungeons & Dragons),Wizards RPG Team,2017,27
415,Player's Handbook (Dungeons & Dragons),Wizards RPG Team,2018,27
268,Player's Handbook (Dungeons & Dragons),Wizards RPG Team,2019,27
353,Pokemon Deluxe Essential Handbook: The Need-to-Know Stats and Facts on Over 700 Pokemon,Scholastic,2016,9
331,Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,Eben Alexander,2012,10
438,Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,Eben Alexander,2013,10
206,"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,2009,46
350,"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,2010,46
74,"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,2011,46
58,"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,2012,46
48,"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,2013,46
494,"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,2014,46
39,"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,2015,46
77,"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,2016,46
289,"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,2017,46
262,"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,2018,46
539,Puppy Birthday to You! (Paw Patrol) (Little Golden Book),Golden Books,2017,4
394,Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,2012,20
283,Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,2013,7
235,Radical: Taking Back Your Faith from the American Dream,David Platt,2010,9
60,Radical: Taking Back Your Faith from the American Dream,David Platt,2011,9
277,Ready Player One: A Novel,Ernest Cline,2017,12
248,Ready Player One: A Novel,Ernest Cline,2018,12
26,Rush Revere and the Brave Pilgrims: Time-Travel Adventures with Exceptional Americans (1),Rush Limbaugh,2013,12
466,Rush Revere and the First Patriots: Time-Travel Adventures With Exceptional Americans (2),Rush Limbaugh,2014,12
545,"Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking",Samin Nosrat,2018,20
173,"Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking",Samin Nosrat,2019,20
83,Sarah's Key,Tatiana de Rosnay,2010,10
323,"School Zone - Big Preschool Workbook - Ages 4 and Up, Colors, Shapes, Numbers 1-10, Alphabet, Pre-Writing, Pre-Reading",School Zone,2018,6
79,"School Zone - Big Preschool Workbook - Ages 4 and Up, Colors, Shapes, Numbers 1-10, Alphabet, Pre-Writing, Pre-Reading",School Zone,2019,6
290,"Secret Garden: An Inky Treasure Hunt and Coloring Book (For Adults, mindfulness coloring)",Johanna Basford,2015,9
336,Sh*t My Dad Says,Justin Halpern,2010,11
307,Ship of Fools: How a Selfish Ruling Class Is Bringing America to the Brink of Revolution,Tucker Carlson,2018,16
50,Shred: The Revolutionary Diet: 6 Weeks 4 Inches 2 Sizes,Ian K. Smith M.D.,2013,6
217,Sookie Stackhouse,Charlaine Harris,2009,25
432,"Soul Healing Miracles: Ancient and New Sacred Wisdom, Knowledge, and Practical Techniques for Healing the Spiritual",Zhi Gang Sha,2013,17
461,Steve Jobs,Walter Isaacson,2011,20
490,Steve Jobs,Walter Isaacson,2012,20
51,Strange Planet (Strange Planet Series),Nathan W. Pyle,2019,6
378,StrengthsFinder 2.0,Gallup,2009,17
520,StrengthsFinder 2.0,Gallup,2010,17
281,StrengthsFinder 2.0,Gallup,2011,17
122,StrengthsFinder 2.0,Gallup,2012,17
192,StrengthsFinder 2.0,Gallup,2013,17
299,StrengthsFinder 2.0,Gallup,2014,17
327,StrengthsFinder 2.0,Gallup,2015,17
476,StrengthsFinder 2.0,Gallup,2016,17
324,StrengthsFinder 2.0,Gallup,2017,17
430,"Super Freakonomics: Global Cooling, Patriotic Prostitutes, and Why Suicide Bombers Should Buy Life Insurance",Steven D. Levitt,2009,18
201,Switch: How to Change Things When Change Is Hard,Chip Heath,2010,13
308,Sycamore Row (Jake Brigance),John Grisham,2013,18
3,Teach Like a Champion: 49 Techniques that Put Students on the Path to College,Doug Lemov,2010,20
435,Teach Like a Champion: 49 Techniques that Put Students on the Path to College,Doug Lemov,2011,20
10,The 17 Day Diet: A Doctor's Plan Designed for Rapid Results,Mike Moreno,2011,22
383,"The 4 Hour Body: An Uncommon Guide to Rapid Fat Loss, Incredible Sex and Becoming Superhuman",Timothy Ferriss,2011,21
239,The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,2010,28
402,The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,2011,28
296,The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,2012,28
16,The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,2013,28
451,The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,2014,28
533,The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,2015,8
115,The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,2016,8
442,The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,2017,8
78,The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,2018,8
246,The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,2019,8
187,The 5000 Year Leap,W. Cleon Skousen,2009,12
76,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,2009,24
106,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,2011,24
18,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,2012,24
312,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,2013,24
465,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,2015,16
113,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,2016,16
348,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,2017,16
160,The Alchemist,Paulo Coelho,2014,39
372,The Amateur,Edward Klein,2012,9
279,The Art of Racing in the Rain: A Novel,Garth Stein,2010,10
384,The Art of Racing in the Rain: A Novel,Garth Stein,2011,10
386,The Big Short: Inside the Doomsday Machine,Michael Lewis,2010,17
